 indi,                  x_v,                   v,                   H,                   q,                 eta
    0,     0.07000000000031,    1.00000000019599,    1.86602881656662,    1.86602881693234,    1.86602881656662,
    1,     0.08615326376652,    1.11171720267634,    1.84623073832962,    2.05248647191088,    1.84623073832962,
    2,     0.10245921077973,    1.32560432743391,    1.86515079229473,    2.47245196158268,    1.86515079229473,
    3,     0.11839938683579,    1.33566351709201,    1.84539740187966,    2.46482998422704,    1.84539740187966,
    4,     0.13478797488650,    1.64360481608597,    1.86258034967701,    3.06134603307621,    1.86258034967701,
    5,     0.15046227680683,    1.56085774551982,    1.84370495262446,    2.87776115575714,    1.84370495262446,
    6,     0.16685336097062,    1.94662331072155,    1.85851554791776,    3.61782968891513,    1.85851554791776,
    7,     0.18221378168286,    1.78726042030502,    1.84113562363644,    3.29058882853900,    1.84113562363644,
    8,     0.19851871394595,    2.22768578833104,    1.85330678221360,    4.12858518015476,    1.85330678221360,
    9,     0.21351898555673,    2.01380222501591,    1.83775082672825,    3.70086670389017,    1.83775082672825,
   10,     0.22964409419196,    2.48026049221584,    1.84747235004690,    4.58221268028246,    1.84747235004690,
   11,     0.24423689262385,    2.23843141706689,    1.83379574122178,    4.10482599963430,    1.83379574122178,
   12,     0.26008767587072,    nan,    nan,    nan,    nan,
   13,     0.27422255079899,    nan,    nan,    nan,    nan,
   14,     nan,    nan,    nan,    nan,    nan,
   15,     nan,    nan,    nan,    nan,    nan,
   16,     nan,    nan,    nan,    nan,    nan,
   17,     nan,    nan,    nan,    nan,    nan,
   18,     nan,    nan,    nan,    nan,    nan,
   19,     nan,    nan,    nan,    nan,    nan,
   20,     nan,    nan,    nan,    nan,    nan,
   21,     nan,    nan,    nan,    nan,    nan,
   22,     nan,    nan,    nan,    nan,    nan,
   23,     nan,    nan,    nan,    nan,    nan,
   24,     nan,    nan,    nan,    nan,    nan,
   25,     nan,    nan,    nan,    nan,    nan,
   26,     nan,    nan,    nan,    nan,    nan,
   27,     nan,    nan,    nan,    nan,    nan,
   28,     nan,    nan,    nan,    nan,    nan,
   29,     nan,    nan,    nan,    nan,    nan,
   30,     nan,    nan,    nan,    nan,    nan,
   31,     nan,    nan,    nan,    nan,    nan,
   32,     nan,    nan,    nan,    nan,    nan,
   33,     nan,    nan,    nan,    nan,    nan,
   34,     nan,    nan,    nan,    nan,    nan,
   35,     nan,    nan,    nan,    nan,    nan,
   36,     nan,    nan,    nan,    nan,    nan,
   37,     nan,    nan,    nan,    nan,    nan,
   38,     nan,    nan,    nan,    nan,    nan,
   39,     nan,    nan,    nan,    nan,    nan,
   40,     nan,    nan,    nan,    nan,    nan,
   41,     nan,    nan,    nan,    nan,    nan,
   42,     nan,    nan,    nan,    nan,    nan,
   43,     nan,    nan,    nan,    nan,    nan,
   44,     nan,    nan,    nan,    nan,    nan,
   45,     nan,    nan,    nan,    nan,    nan,
   46,     nan,    nan,    nan,    nan,    nan,
   47,     nan,    nan,    nan,    nan,    nan,
   48,     nan,    nan,    nan,    nan,    nan,
   49,     nan,    nan,    nan,    nan,    nan,
   50,     nan,    nan,    nan,    nan,    nan,
   51,     nan,    nan,    nan,    nan,    nan,
   52,     nan,    nan,    nan,    nan,    nan,
   53,     nan,    nan,    nan,    nan,    nan,
   54,     nan,    nan,    nan,    nan,    nan,
   55,     nan,    nan,    nan,    nan,    nan,
   56,     nan,    nan,    nan,    nan,    nan,
   57,     nan,    nan,    nan,    nan,    nan,
   58,     nan,    nan,    nan,    nan,    nan,
   59,     nan,    nan,    nan,    nan,    nan,
   60,     nan,    nan,    nan,    nan,    nan,
   61,     nan,    nan,    nan,    nan,    nan,
   62,     nan,    nan,    nan,    nan,    nan,
   63,     nan,    nan,    nan,    nan,    nan,
   64,     nan,    nan,    nan,    nan,    nan,
   65,     nan,    nan,    nan,    nan,    nan,
   66,     nan,    nan,    nan,    nan,    nan,
   67,     nan,    nan,    nan,    nan,    nan,
   68,     nan,    nan,    nan,    nan,    nan,
   69,     nan,    nan,    nan,    nan,    nan,
   70,     nan,    nan,    nan,    nan,    nan,
   71,     nan,    nan,    nan,    nan,    nan,
   72,     nan,    nan,    nan,    nan,    nan,
   73,     nan,    nan,    nan,    nan,    nan,
   74,     nan,    nan,    nan,    nan,    nan,
   75,     nan,    nan,    nan,    nan,    nan,
   76,     nan,    nan,    nan,    nan,    nan,
   77,     nan,    nan,    nan,    nan,    nan,
   78,     nan,    nan,    nan,    nan,    nan,
   79,     nan,    nan,    nan,    nan,    nan,
   80,     nan,    nan,    nan,    nan,    nan,
   81,     nan,    nan,    nan,    nan,    nan,
   82,     nan,    nan,    nan,    nan,    nan,
   83,     nan,    nan,    nan,    nan,    nan,
   84,     nan,    nan,    nan,    nan,    nan,
   85,     nan,    nan,    nan,    nan,    nan,
   86,     nan,    nan,    nan,    nan,    nan,
   87,     0.86577744920122,    nan,    nan,    nan,    nan,
   88,     0.87991232412869,    nan,    nan,    nan,    nan,
   89,     0.89576310737649,    -0.23843141692513,    1.83379574124630,    -0.43723451693663,    1.83379574124630,
   90,     0.91035590580764,    -0.48026049255169,    1.84747235009657,    -0.88726798083301,    1.84747235009657,
   91,     0.92648101444363,    -0.01380222477690,    1.83775082671771,    -0.02536504999429,    1.83775082671771,
   92,     0.94148128605415,    -0.22768578882843,    1.85330678228189,    -0.42197161666494,    1.85330678228189,
   93,     0.95778621831728,    0.21273957997370,    1.84113562358002,    0.39168241923504,    1.84113562358002,
   94,     0.97314663903026,    0.05337668888616,    1.85851554796867,    0.09920140619402,    1.85851554796867,
   95,     0.98953772319293,    0.43914225460720,    1.84370495258484,    0.80964874970857,    1.84370495258484,
   96,     1.00521202511460,    0.35639518390711,    1.86258034967343,    0.66381466626364,    1.86258034967343,
   97,     1.02160061316377,    0.66433648283610,    1.84539740187676,    1.22596481939769,    1.84539740187676,
   98,     1.03754078922109,    0.67439567283864,    1.86515079227136,    1.25784962349936,    1.86515079227136,
   99,     1.05384673623301,    0.88828279713943,    1.84623073833519,    1.63997500441318,    1.84623073833519,
  100,     1.07000000000031,    1.00000000019599,    1.86602881630178,    1.86602881666750,    1.86602881630178,
